IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados
97,"{37, 15, 16, 19, 22}","{32, 33, 1, 3, 35, 37, 6, 39, 38, 11, 13, 19, 20, 24, 27, 29, 30}",2,"[19, 37]"
98,"{2, 11, 15, 17, 31}","{32, 1, 33, 35, 34, 3, 6, 39, 38, 11, 12, 13, 20, 24, 27, 29, 30, 31}",2,"[11, 31]"
99,"{34, 9, 10, 12, 24}","{32, 1, 34, 35, 33, 6, 39, 38, 9, 12, 13, 20, 21, 24, 26, 29, 30}",4,"[24, 9, 34, 12]"
100,"{34, 20, 25, 28, 29}","{32, 1, 35, 6, 39, 8, 7, 38, 13, 18, 20, 21, 26, 29, 30}",2,"[20, 29]"
101,"{33, 34, 35, 13, 31}","{32, 1, 35, 6, 7, 8, 39, 38, 13, 14, 17, 18, 21, 26, 30}",2,"[35, 13]"
102,"{6, 39, 10, 11, 31}","{32, 1, 36, 37, 6, 7, 8, 39, 11, 14, 17, 18, 19, 21, 26, 30}",3,"[11, 6, 39]"
103,"{37, 6, 18, 21, 27}","{32, 1, 2, 36, 37, 4, 7, 8, 14, 15, 17, 18, 19, 21, 26, 30}",3,"[18, 21, 37]"
104,"{4, 6, 8, 17, 30}","{32, 1, 2, 36, 4, 7, 8, 9, 12, 14, 15, 17, 19, 24, 26}",3,"[8, 17, 4]"
105,"{3, 20, 21, 26, 30}","{1, 2, 36, 7, 9, 12, 14, 15, 19, 24, 25, 29}",0,[]
106,"{37, 5, 9, 23, 31}","{1, 2, 34, 36, 33, 35, 9, 10, 11, 12, 14, 15, 16, 19, 24, 25, 28, 29}",1,[9]
107,"{34, 35, 3, 13, 18}","{33, 2, 34, 36, 35, 6, 39, 10, 11, 12, 14, 15, 16, 19, 24, 25, 28, 29}",2,"[34, 35]"
108,"{2, 20, 21, 25, 26}","{2, 6, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 24, 25, 28, 29, 33, 36, 39}",3,"[25, 2, 21]"
109,"{7, 21, 23, 24, 27}","{33, 36, 6, 39, 8, 10, 11, 12, 14, 16, 17, 19, 22, 24, 28, 29, 30}",1,[24]
110,"{38, 14, 18, 25, 30}","{33, 3, 36, 5, 6, 39, 8, 10, 11, 12, 14, 16, 17, 19, 22, 28, 29, 30}",2,"[14, 30]"
111,"{1, 38, 15, 22, 27}","{3, 4, 5, 6, 8, 9, 10, 11, 12, 16, 17, 22, 28, 29, 31, 33, 36, 37, 39}",1,[22]
112,"{5, 39, 13, 21, 22}","{3, 4, 5, 6, 8, 9, 10, 11, 16, 17, 21, 28, 29, 31, 33, 34, 35, 36, 37, 39}",3,"[21, 5, 39]"
113,"{9, 13, 14, 18, 21}","{2, 3, 4, 6, 7, 8, 9, 10, 11, 16, 17, 23, 26, 28, 29, 31, 33, 34, 35, 37}",1,[9]
114,"{32, 1, 2, 36, 8}","{2, 3, 4, 6, 7, 8, 10, 11, 16, 23, 24, 26, 28, 30, 31, 33, 34, 35, 37, 38}",2,"[8, 2]"
115,"{2, 15, 16, 24, 30}","{34, 35, 4, 37, 38, 7, 6, 3, 11, 16, 23, 24, 25, 26, 28, 30, 31}",3,"[16, 24, 30]"
116,"{3, 18, 21, 24, 27}","{34, 35, 4, 37, 38, 7, 20, 21, 23, 25, 26, 31}",1,[21]
117,"{33, 4, 37, 39, 24}","{34, 35, 4, 37, 38, 7, 5, 20, 23, 25, 26, 31}",2,"[4, 37]"
118,"{32, 2, 37, 20, 28}","{35, 5, 38, 7, 9, 14, 20, 23, 25, 26, 31}",1,[20]
119,"{1, 38, 17, 19, 25}","{1, 35, 3, 5, 38, 8, 9, 13, 14, 21, 23, 25, 30, 31}",3,"[1, 38, 25]"
120,"{32, 33, 35, 36, 23}","{3, 35, 5, 36, 8, 9, 13, 14, 15, 18, 21, 23, 30}",3,"[35, 36, 23]"
121,"{32, 34, 35, 28, 29}","{3, 5, 8, 9, 13, 14, 15, 18, 21, 30}",0,[]
122,"{3, 35, 9, 19, 30}","{3, 5, 38, 39, 8, 9, 13, 14, 15, 18, 21, 22, 24, 30}",3,"[9, 3, 30]"
123,"{1, 15, 16, 20, 25}","{2, 5, 38, 39, 8, 37, 13, 14, 15, 17, 18, 21, 22, 24, 27}",1,[15]
124,"{2, 6, 19, 25, 27}","{2, 4, 37, 38, 39, 8, 5, 13, 14, 17, 18, 21, 22, 24, 27}",2,"[2, 27]"
125,"{34, 7, 15, 21, 28}","{32, 33, 4, 37, 38, 39, 8, 13, 14, 17, 18, 22, 23, 24}",0,[]
126,"{33, 6, 8, 16, 17}","{32, 33, 3, 4, 37, 38, 39, 36, 13, 14, 17, 18, 22, 23, 24, 29}",2,"[33, 17]"
127,"{39, 16, 18, 25, 28}","{32, 3, 4, 37, 36, 39, 38, 35, 14, 18, 22, 23, 24, 29, 30}",2,"[18, 39]"
128,"{37, 13, 15, 23, 25}","{32, 1, 3, 4, 36, 35, 37, 38, 9, 21, 22, 23, 24, 29, 30}",2,"[37, 23]"
129,"{1, 35, 18, 21, 31}","{32, 1, 2, 35, 36, 4, 3, 38, 7, 9, 6, 19, 21, 22, 24, 29, 30}",3,"[1, 35, 21]"
130,"{5, 11, 12, 25, 26}","{32, 2, 34, 36, 4, 6, 7, 3, 9, 17, 19, 22, 24, 29, 30}",0,[]
131,"{6, 39, 12, 13, 30}","{32, 33, 2, 34, 36, 4, 6, 7, 9, 17, 19, 20, 22, 24, 27, 29, 30}",2,"[6, 30]"
132,"{34, 35, 12, 14, 31}","{32, 33, 2, 34, 36, 4, 7, 8, 9, 15, 17, 19, 20, 21, 22, 27, 28, 29}",1,[34]
133,"{2, 6, 39, 9, 22}","{2, 7, 8, 9, 15, 17, 18, 19, 20, 21, 22, 23, 27, 28, 29, 32, 33, 36, 37}",3,"[9, 2, 22]"
134,"{34, 11, 14, 22, 24}","{1, 7, 8, 11, 15, 16, 17, 18, 19, 20, 21, 23, 25, 27, 28, 29, 32, 33, 36, 37}",1,[11]
135,"{6, 39, 9, 12, 26}","{1, 5, 7, 8, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29, 33, 36, 37}",1,[26]
136,"{32, 17, 19, 23, 26}","{1, 33, 36, 37, 5, 8, 15, 16, 17, 18, 19, 20, 21, 23, 25, 27, 28, 30}",3,"[17, 19, 23]"
137,"{33, 2, 38, 9, 22}","{1, 33, 35, 5, 37, 8, 13, 15, 16, 18, 20, 21, 25, 27, 28, 30, 31}",1,[33]
138,"{34, 36, 15, 20, 24}","{1, 35, 5, 37, 6, 11, 13, 15, 16, 18, 20, 25, 27, 28, 30, 31}",2,"[20, 15]"
139,"{4, 38, 17, 23, 29}","{1, 35, 5, 6, 37, 11, 13, 14, 16, 18, 25, 28, 30, 31}",0,[]
140,"{5, 14, 19, 25, 30}","{32, 1, 35, 5, 6, 39, 11, 12, 13, 14, 16, 18, 28, 30, 31}",3,"[5, 14, 30]"
141,"{36, 12, 13, 20, 22}","{32, 1, 35, 6, 39, 11, 12, 13, 16, 18, 26, 28, 31}",2,"[12, 13]"
142,"{34, 9, 16, 21, 27}","{32, 1, 2, 35, 33, 6, 39, 38, 9, 11, 16, 18, 26, 31}",2,"[16, 9]"
143,"{34, 4, 18, 24, 27}","{32, 33, 2, 35, 38, 39, 6, 11, 15, 17, 18, 24, 26, 31}",2,"[24, 18]"
144,"{1, 35, 17, 26, 30}","{32, 33, 2, 35, 38, 39, 6, 11, 15, 17, 23, 25, 26, 31}",3,"[17, 26, 35]"
145,"{1, 36, 39, 8, 24}","{32, 33, 2, 5, 38, 39, 6, 11, 14, 15, 19, 21, 23, 25, 29, 31}",1,[39]
146,"{34, 4, 7, 27, 31}","{32, 33, 2, 5, 38, 6, 11, 12, 14, 15, 19, 21, 23, 25, 29, 31}",1,[31]
147,"{36, 37, 38, 13, 30}","{32, 33, 2, 5, 38, 9, 11, 12, 13, 14, 15, 19, 21, 22, 23, 25, 29}",2,"[13, 38]"
148,"{38, 6, 8, 12, 14}","{32, 33, 2, 5, 9, 11, 12, 14, 15, 17, 19, 21, 22, 23, 25, 29}",2,"[12, 14]"
149,"{32, 8, 16, 24, 26}","{32, 33, 35, 5, 9, 11, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 29}",3,"[32, 16, 26]"
150,"{1, 34, 38, 16, 22}","{1, 34, 35, 33, 5, 39, 7, 9, 17, 18, 19, 20, 21, 22, 23, 25, 29}",3,"[1, 34, 22]"
151,"{32, 4, 6, 17, 31}","{35, 5, 6, 39, 7, 9, 17, 18, 19, 20, 23, 29, 31}",3,"[17, 6, 31]"
152,"{4, 8, 10, 19, 31}","{35, 5, 37, 39, 7, 9, 18, 19, 20, 23, 29, 30}",1,[19]
153,"{33, 37, 13, 23, 27}","{35, 36, 37, 38, 7, 39, 9, 5, 12, 13, 18, 20, 24, 27, 29, 30}",3,"[13, 27, 37]"
154,"{6, 11, 16, 17, 24}","{34, 35, 36, 38, 39, 7, 6, 12, 14, 18, 20, 24, 26, 29, 30}",2,"[24, 6]"
155,"{2, 39, 10, 14, 29}","{32, 1, 34, 35, 36, 38, 39, 7, 12, 14, 18, 20, 26, 30}",2,"[14, 39]"
156,"{32, 33, 3, 16, 19}","{32, 1, 34, 35, 36, 38, 7, 12, 18, 20, 26, 30}",1,[32]
157,"{35, 5, 10, 14, 28}","{1, 34, 36, 38, 7, 8, 6, 12, 18, 20, 22, 26, 30, 31}",0,[]
158,"{1, 33, 37, 19, 27}","{1, 34, 36, 37, 6, 38, 8, 11, 12, 17, 18, 20, 22, 26, 30, 31}",2,"[1, 37]"
159,"{1, 3, 18, 19, 26}","{34, 4, 36, 6, 38, 8, 11, 12, 13, 17, 18, 22, 23, 24, 26, 31}",2,"[18, 26]"
160,"{13, 15, 17, 25, 27}","{32, 2, 4, 36, 6, 38, 8, 39, 11, 12, 13, 17, 22, 23, 24, 31}",2,"[17, 13]"
161,"{35, 39, 10, 16, 24}","{32, 2, 4, 36, 6, 39, 8, 10, 11, 22, 23, 24, 31}",3,"[24, 10, 39]"
162,"{37, 8, 10, 13, 15}","{32, 2, 4, 36, 6, 5, 8, 11, 22, 23, 29, 31}",1,[8]
163,"{37, 7, 8, 10, 14}","{32, 33, 2, 3, 4, 5, 6, 11, 14, 22, 23, 28, 29, 31}",1,[14]
164,"{2, 34, 5, 16, 22}","{32, 33, 2, 3, 4, 5, 1, 6, 11, 17, 19, 22, 23, 25, 26, 28, 29, 31}",3,"[2, 5, 22]"
165,"{13, 15, 22, 26, 29}","{32, 33, 1, 3, 4, 6, 11, 17, 19, 23, 25, 26, 28, 29, 31}",2,"[26, 29]"
166,"{35, 39, 7, 16, 28}","{32, 33, 1, 3, 4, 35, 39, 11, 17, 18, 19, 23, 24, 25, 27, 28, 31}",3,"[35, 28, 39]"
167,"{34, 8, 23, 29, 30}","{32, 33, 1, 3, 10, 11, 17, 18, 19, 24, 25, 27}",0,[]
168,"{37, 6, 19, 25, 27}","{32, 1, 33, 3, 37, 10, 11, 14, 17, 18, 19, 24, 25, 27}",4,"[27, 25, 19, 37]"
169,"{34, 35, 4, 20, 30}","{32, 1, 33, 3, 2, 5, 10, 11, 14, 15, 17, 18, 24}",0,[]
170,"{37, 17, 22, 24, 31}","{1, 2, 33, 5, 7, 10, 11, 13, 14, 15, 16, 17, 18, 24, 26}",2,"[24, 17]"
171,"{10, 20, 22, 28, 31}","{1, 2, 33, 5, 6, 7, 39, 10, 13, 14, 15, 16, 18, 26}",1,[10]
172,"{32, 3, 7, 13, 28}","{2, 5, 6, 7, 39, 8, 13, 14, 15, 16, 18, 26}",2,"[13, 7]"
173,"{36, 5, 12, 18, 30}","{2, 34, 5, 6, 39, 8, 14, 15, 16, 18, 19, 25, 26}",2,"[18, 5]"
174,"{35, 6, 7, 9, 13}","{34, 2, 35, 6, 39, 8, 14, 15, 16, 17, 19, 23, 25, 26, 27, 29}",2,"[35, 6]"
175,"{2, 35, 12, 19, 28}","{34, 2, 37, 39, 8, 10, 14, 15, 16, 17, 19, 23, 24, 25, 26, 27, 29}",2,"[2, 19]"
176,"{37, 38, 12, 14, 25}","{34, 3, 4, 37, 39, 8, 10, 15, 16, 17, 22, 23, 24, 25, 26, 27, 29, 31}",2,"[25, 37]"
177,"{6, 12, 16, 24, 29}","{32, 34, 3, 4, 6, 39, 8, 10, 16, 17, 22, 23, 24, 27, 29, 30, 31}",4,"[16, 24, 29, 6]"
178,"{3, 39, 12, 21, 25}","{32, 34, 3, 4, 5, 39, 8, 7, 10, 17, 22, 23, 27, 30, 31}",2,"[3, 39]"
179,"{1, 35, 37, 17, 18}","{32, 4, 5, 38, 7, 36, 9, 10, 13, 17, 20, 22, 23, 27, 30, 31}",1,[17]
180,"{36, 5, 17, 25, 30}","{2, 4, 5, 6, 7, 9, 10, 13, 19, 20, 22, 23, 27, 28, 30, 31, 32, 36, 38}",3,"[36, 5, 30]"
181,"{4, 5, 9, 18, 19}","{32, 2, 4, 38, 7, 6, 9, 10, 13, 19, 20, 21, 22, 23, 27, 28, 31}",3,"[9, 19, 4]"
182,"{1, 36, 5, 13, 16}","{32, 2, 3, 38, 7, 6, 10, 12, 13, 14, 16, 20, 21, 22, 24, 28, 31}",2,"[16, 13]"
183,"{34, 37, 39, 24, 25}","{32, 2, 3, 38, 7, 6, 39, 10, 12, 14, 20, 21, 22, 24, 28, 31}",2,"[24, 39]"
184,"{1, 35, 7, 14, 21}","{32, 2, 3, 35, 38, 6, 7, 10, 12, 14, 17, 20, 21, 22, 28, 29, 31}",4,"[35, 21, 14, 7]"
185,"{33, 34, 19, 23, 24}","{32, 2, 3, 6, 38, 12, 17, 20, 22, 28, 29, 30, 31}",0,[]
186,"{2, 18, 24, 26, 30}","{32, 2, 3, 6, 38, 12, 17, 20, 22, 28, 29, 30}",2,"[2, 30]"
187,"{3, 5, 17, 24, 26}","{3, 5, 6, 38, 9, 12, 16, 17, 20, 21, 22, 25, 28, 29}",3,"[17, 3, 5]"
188,"{33, 36, 13, 15, 24}","{4, 37, 6, 39, 36, 9, 7, 12, 13, 16, 20, 21, 25, 28, 29}",2,"[36, 13]"
189,"{35, 11, 17, 23, 27}","{1, 34, 35, 4, 37, 39, 7, 9, 12, 16, 21, 25, 28, 29}",1,[35]
190,(),"{1, 34, 4, 37, 39, 7, 9, 12, 14, 16, 19, 21, 25, 29}",0,[]
